2025-10-22 21:41:11 | ERROR | c.p.bsep.security.AuthTokenFilter | TOKEN: 
2025-10-22 21:41:11 | INFO  | c.p.bsep.security.AuthTokenFilter | Parsing JWT token...
2025-10-22 21:41:11 | INFO  | c.p.bsep.security.AuthTokenFilter | Getting Authorization header from request...
2025-10-22 21:41:11 | WARN  | c.p.bsep.security.AuthTokenFilter | Failed to find Bearer token in Authorization header!
2025-10-22 21:41:11 | INFO  | c.p.bsep.security.AuthTokenFilter | Validating JWT token...
2025-10-22 21:41:50 | ERROR | c.p.bsep.security.AuthTokenFilter | TOKEN: 
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Parsing JWT token...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Getting Authorization header from request...
2025-10-22 21:41:50 | WARN  | c.p.bsep.security.AuthTokenFilter | Failed to find Bearer token in Authorization header!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Validating JWT token...
2025-10-22 21:41:50 | ERROR | c.p.bsep.security.AuthTokenFilter | TOKEN: 
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Parsing JWT token...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Getting Authorization header from request...
2025-10-22 21:41:50 | WARN  | c.p.bsep.security.AuthTokenFilter | Failed to find Bearer token in Authorization header!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Validating JWT token...
2025-10-22 21:41:50 | ERROR | c.p.bsep.security.AuthTokenFilter | TOKEN: 
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Parsing JWT token...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Getting Authorization header from request...
2025-10-22 21:41:50 | WARN  | c.p.bsep.security.AuthTokenFilter | Failed to find Bearer token in Authorization header!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Validating JWT token...
2025-10-22 21:41:50 | WARN  | o.s.web.servlet.PageNotFound | No mapping for OPTIONS /api/vpn
2025-10-22 21:41:50 | WARN  | o.s.web.servlet.PageNotFound | No endpoint OPTIONS /api/vpn.
2025-10-22 21:41:50 | ERROR | c.p.bsep.security.AuthTokenFilter | TOKEN: 
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Parsing JWT token...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Getting Authorization header from request...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Extracted Bearer token from Authorization header!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Validating JWT token...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Extracting username...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Extracted username!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Trying to authenticate user...
2025-10-22 21:41:50 | ERROR | c.p.bsep.security.AuthTokenFilter | TOKEN: 
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Parsing JWT token...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Getting Authorization header from request...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Extracted Bearer token from Authorization header!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Validating JWT token...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Extracting username...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Extracted username!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Trying to authenticate user...
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Successfully authenticated user!
2025-10-22 21:41:50 | INFO  | c.p.bsep.security.AuthTokenFilter | Successfully authenticated user!
